weekendingdate,location,pct_hosp,date,MMWRYR,MMWRWK
2024-12-28T00:00:00.000,Region 2,0.948,2024-12-28,2024,52
2024-03-09T00:00:00.000,Region 5,0.9577,2024-03-09,2024,10
2025-08-30T00:00:00.000,Region 5,0.9325,2025-08-30,2025,35
2021-02-06T00:00:00.000,Region 6,0.9125,2021-02-06,2021,5
2025-06-21T00:00:00.000,Region 6,0.8651,2025-06-21,2025,25
2021-09-18T00:00:00.000,Region 7,0.7894,2021-09-18,2021,37
2025-01-04T00:00:00.000,Region 7,0.9571,2025-01-04,2025,1
2021-02-13T00:00:00.000,Region 8,0.9306,2021-02-13,2021,6
2021-04-03T00:00:00.000,Region 9,0.9155,2021-04-03,2021,13
2023-05-20T00:00:00.000,Region 9,0.9431,2023-05-20,2023,20
2024-02-10T00:00:00.000,Region 9,0.9362,2024-02-10,2024,6
2022-03-26T00:00:00.000,Region 1,0.9048,2022-03-26,2022,12
2021-12-04T00:00:00.000,Region 10,0.7739,2021-12-04,2021,48
2021-12-11T00:00:00.000,Region 10,0.7739,2021-12-11,2021,49
2022-11-05T00:00:00.000,Region 10,0.9565,2022-11-05,2022,44
2025-01-18T00:00:00.000,Region 2,0.8873,2025-01-18,2025,3
2025-04-12T00:00:00.000,Region 2,0.8988,2025-04-12,2025,15
2023-06-17T00:00:00.000,Region 5,0.9617,2023-06-17,2023,24
2023-08-05T00:00:00.000,Region 5,0.9396,2023-08-05,2023,31
2020-08-29T00:00:00.000,Region 6,0.0,2020-08-29,2020,35
2021-10-09T00:00:00.000,Region 6,0.5088,2021-10-09,2021,40
2023-06-10T00:00:00.000,Region 6,0.9269,2023-06-10,2023,23
2025-01-04T00:00:00.000,Region 6,0.8939,2025-01-04,2025,1
2022-07-02T00:00:00.000,Region 7,0.9407,2022-07-02,2022,26
2020-12-12T00:00:00.000,Region 8,0.9194,2020-12-12,2020,50
2023-05-27T00:00:00.000,Region 8,0.9722,2023-05-27,2023,21
2023-12-09T00:00:00.000,Region 8,0.9694,2023-12-09,2023,49
2022-11-26T00:00:00.000,Region 1,0.9095,2022-11-26,2022,47
2022-01-22T00:00:00.000,Region 10,0.8913,2022-01-22,2022,3
2022-10-22T00:00:00.000,Region 10,0.9565,2022-10-22,2022,42
2023-08-19T00:00:00.000,Region 10,0.9826,2023-08-19,2023,33
2024-03-02T00:00:00.000,Region 2,0.974,2024-03-02,2024,9
2023-01-21T00:00:00.000,Region 3,0.949,2023-01-21,2023,3
2024-03-30T00:00:00.000,Region 4,0.9199,2024-03-30,2024,13
2022-06-04T00:00:00.000,Region 5,0.9325,2022-06-04,2022,22
2020-08-22T00:00:00.000,Region 8,0.0,2020-08-22,2020,34
2022-03-19T00:00:00.000,Region 8,0.9333,2022-03-19,2022,11
2020-08-22T00:00:00.000,Region 9,0.0,2020-08-22,2020,34
2022-05-14T00:00:00.000,Region 9,0.9103,2022-05-14,2022,19
2023-11-11T00:00:00.000,Region 9,0.9414,2023-11-11,2023,45
2020-12-19T00:00:00.000,Region 10,0.9565,2020-12-19,2020,51
2020-12-26T00:00:00.000,Region 10,0.9565,2020-12-26,2020,52
2023-12-16T00:00:00.000,Region 2,0.9711,2023-12-16,2023,50
2024-08-03T00:00:00.000,Region 2,0.4566,2024-08-03,2024,31
2021-01-30T00:00:00.000,Region 3,0.8914,2021-01-30,2021,4
2022-02-05T00:00:00.000,Region 3,0.9047,2022-02-05,2022,5
2021-09-25T00:00:00.000,Region 4,0.7687,2021-09-25,2021,38
2024-05-18T00:00:00.000,Region 4,0.3242,2024-05-18,2024,20
2024-12-28T00:00:00.000,Region 4,0.9308,2024-12-28,2024,52
2021-08-14T00:00:00.000,Region 5,0.8721,2021-08-14,2021,32
2024-02-03T00:00:00.000,Region 5,0.9607,2024-02-03,2024,5
2025-03-15T00:00:00.000,Region 6,0.8939,2025-03-15,2025,11
